24.27	24.984	25.5931	26.0959	26.4932	26.7874	26.9814	27.0776	27.0776	26.9814	26.7874	26.4932	26.0959	25.5931	24.984	24.27
24.9827	25.7323	26.3718	26.8997	27.3169	27.6258	27.8294	27.9305	27.9305	27.8294	27.6258	27.3169	26.8997	26.3718	25.7323	24.9827
25.5885	26.3685	27.0338	27.583	28.017	28.3384	28.5502	28.6553	28.6553	28.5502	28.3384	28.017	27.583	27.0338	26.3685	25.5885
26.0892	26.8942	27.5808	28.1476	28.5955	28.9271	29.1457	29.2542	29.2542	29.1457	28.9271	28.5955	28.1476	27.5808	26.8942	26.0892
26.4904	27.3154	28.0192	28.6	29.059	29.3988	29.6228	29.7339	29.7339	29.6228	29.3988	29.059	28.6	28.0192	27.3154	26.4904
26.8012	27.6419	28.3588	28.9505	29.4181	29.7642	29.9924	30.1056	30.1056	29.9924	29.7642	29.4181	28.9505	28.3588	27.6419	26.8012
27.033	27.8852	28.612	29.2118	29.6857	30.0365	30.2678	30.3825	30.3825	30.2678	30.0365	29.6857	29.2118	28.612	27.8852	27.033
27.1976	28.058	28.7918	29.3973	29.8757	30.2298	30.4632	30.5791	30.5791	30.4632	30.2298	29.8757	29.3973	28.7918	28.058	27.1976
27.3059	28.1717	28.9101	29.5194	30.0007	30.3571	30.5919	30.7084	30.7084	30.5919	30.3571	30.0007	29.5194	28.9101	28.1717	27.3059
27.367	28.2359	28.9768	29.5883	30.0713	30.4288	30.6644	30.7814	30.7814	30.6644	30.4288	30.0713	29.5883	28.9768	28.2359	27.367
27.3867	28.2566	28.9984	29.6105	30.094	30.4519	30.6878	30.8049	30.8049	30.6878	30.4519	30.094	29.6105	28.9984	28.2566	27.3867
27.367	28.2359	28.9768	29.5883	30.0713	30.4288	30.6644	30.7814	30.7814	30.6644	30.4288	30.0713	29.5883	28.9768	28.2359	27.367
27.3059	28.1717	28.9101	29.5194	30.0007	30.3571	30.5919	30.7084	30.7084	30.5919	30.3571	30.0007	29.5194	28.9101	28.1717	27.3059
27.1976	28.058	28.7918	29.3973	29.8757	30.2298	30.4632	30.5791	30.5791	30.4632	30.2298	29.8757	29.3973	28.7918	28.058	27.1976
27.033	27.8852	28.612	29.2118	29.6857	30.0365	30.2678	30.3825	30.3825	30.2678	30.0365	29.6857	29.2118	28.612	27.8852	27.033
26.8012	27.6419	28.3588	28.9505	29.4181	29.7642	29.9924	30.1056	30.1056	29.9924	29.7642	29.4181	28.9505	28.3588	27.6419	26.8012
26.4904	27.3154	28.0192	28.6	29.059	29.3988	29.6228	29.7339	29.7339	29.6228	29.3988	29.059	28.6	28.0192	27.3154	26.4904
26.0892	26.8942	27.5808	28.1476	28.5955	28.9271	29.1457	29.2542	29.2542	29.1457	28.9271	28.5955	28.1476	27.5808	26.8942	26.0892
25.5885	26.3685	27.0338	27.583	28.017	28.3384	28.5502	28.6553	28.6553	28.5502	28.3384	28.017	27.583	27.0338	26.3685	25.5885
24.9827	25.7323	26.3718	26.8997	27.3169	27.6258	27.8294	27.9305	27.9305	27.8294	27.6258	27.3169	26.8997	26.3718	25.7323	24.9827
24.27	24.984	25.5931	26.0959	26.4932	26.7874	26.9814	27.0776	27.0776	26.9814	26.7874	26.4932	26.0959	25.5931	24.984	24.27
